Date,Open,High,Low,Close
1989-09-11,80.14,80.14,80.14,80.14
1989-09-11,79.42,79.42,79.42,79.42
1989-09-11,78.41,78.41,78.41,78.41
1989-09-11,76.05,76.05,76.05,76.05
1989-09-11,76.57,76.57,76.57,76.57
1989-09-11,79.45,79.45,79.45,79.45
1989-09-11,79.29,79.29,79.29,79.29
1989-09-11,80.14,80.14,80.14,80.14
1989-09-11,80.01,80.01,80.01,80.01
1989-09-11,79.88,79.88,79.88,79.88
1989-09-11,80.8,80.8,80.8,80.8
1989-09-11,80.62,80.62,80.62,80.62
1989-09-11,80.45,80.45,80.45,80.45
1989-09-11,79.3,79.3,79.3,79.3
1989-09-11,78.73,78.73,78.73,78.73
1989-09-11,78.32,78.32,78.32,78.32
1989-09-11,78.18,78.18,78.18,78.18
1989-09-11,78.03,78.03,78.03,78.03
1989-09-11,77.21,77.21,77.21,77.21
1989-09-11,77.23,77.23,77.23,77.23
1989-09-11,77.89,77.89,77.89,77.89
1989-09-11,77.37,77.37,77.37,77.37
1989-09-11,77.91,77.91,77.91,77.91
1989-09-11,77.88,77.88,77.88,77.88
1989-09-11,78.16,78.16,78.16,78.16
1989-09-11,78.5,78.5,78.5,78.5
1989-09-11,78.74,78.74,78.74,78.74
1989-09-11,78.52,78.52,78.52,78.52
1989-09-11,78.8,78.8,78.8,78.8
1989-09-11,78.33,78.33,78.33,78.33
1989-09-11,78.21,78.21,78.21,78.21
1989-09-11,78.26,78.26,78.26,78.26
1989-09-11,78.44,78.44,78.44,78.44
1989-09-11,78.54,78.54,78.54,78.54
1989-09-11,78.34,78.34,78.34,78.34
1989-09-11,77.64,77.64,77.64,77.64
1989-09-11,77.04,77.04,77.04,77.04
1989-09-11,76.7,76.7,76.7,76.7
1989-09-11,77.0,77.0,77.0,77.0
1989-09-11,75.42,75.42,75.42,75.42
1989-09-11,76.14,76.14,76.14,76.14
1989-09-11,76.4,76.4,76.4,76.4
1989-09-11,77.51,77.51,77.51,77.51
1989-09-11,78.4,78.4,78.4,78.4
1989-09-11,78.94,78.94,78.94,78.94
1989-09-11,78.57,78.57,78.57,78.57
1989-09-11,78.94,78.94,78.94,78.94
1989-09-11,78.28,78.28,78.28,78.28
1989-09-11,77.05,77.05,77.05,77.05
1989-09-11,76.57,76.57,76.57,76.57
1989-09-11,76.08,76.08,76.08,76.08
1989-09-11,75.85,75.85,75.85,75.85
1989-09-11,76.97,76.97,76.97,76.97
1989-09-11,77.31,77.31,77.31,77.31
1989-09-11,77.49,77.49,77.49,77.49
1989-09-11,76.97,76.97,76.97,76.97
1989-09-11,76.48,76.48,76.48,76.48
1989-09-11,76.07,76.07,76.07,76.07
1989-09-11,75.74,75.74,75.74,75.74
1989-09-11,76.24,76.24,76.24,76.24
1989-09-11,78.25,78.25,78.25,78.25
1989-09-11,78.23,78.23,78.23,78.23
1989-09-11,77.86,77.86,77.86,77.86
1989-09-11,79.0,79.0,79.0,79.0
1989-09-11,79.4,79.4,79.4,79.4
1989-09-11,79.32,79.32,79.32,79.32
1989-09-11,75.71,75.71,75.71,75.71
1989-09-11,76.52,76.52,76.52,76.52
1989-09-11,75.15,75.15,75.15,75.15
1989-09-11,74.74,74.74,74.74,74.74
1989-09-11,75.03,75.03,75.03,75.03
1989-09-11,74.38,74.38,74.38,74.38
1989-09-11,74.18,74.18,74.18,74.18
1989-09-11,75.24,75.24,75.24,75.24
1989-09-11,74.78,74.78,74.78,74.78
1989-09-11,74.46,74.46,74.46,74.46
1989-09-11,75.98,75.98,75.98,75.98
1989-09-11,76.0,76.0,76.0,76.0
1989-09-11,75.82,75.82,75.82,75.82
1989-09-11,75.37,75.37,75.37,75.37
1989-09-11,75.75,75.75,75.75,75.75
1989-09-11,75.35,75.35,75.35,75.35
1989-09-11,75.26,75.26,75.26,75.26
1989-09-11,75.14,75.14,75.14,75.14
1989-09-11,75.85,75.85,75.85,75.85
1989-09-11,76.97,76.97,76.97,76.97
1989-09-11,76.86,76.86,76.86,76.86
1989-09-11,76.0,76.0,76.0,76.0
1989-09-11,76.07,76.07,76.07,76.07
1989-09-11,75.07,75.07,75.07,75.07
1989-09-11,75.92,75.92,75.92,75.92
1989-09-11,78.61,78.61,78.61,78.61
1989-09-11,79.39,79.39,79.39,79.39
1989-09-11,80.06,80.06,80.06,80.06
1989-09-11,80.49,80.49,80.49,80.49
1989-09-11,83.12,83.12,83.12,83.12
1989-09-11,83.74,83.74,83.74,83.74
1989-09-11,84.42,84.42,84.42,84.42
1989-09-11,84.85,84.85,84.85,84.85
1989-09-11,84.66,84.66,84.66,84.66
1989-09-11,84.45,84.45,84.45,84.45
1989-09-11,84.83,84.83,84.83,84.83
1989-09-11,85.19,85.19,85.19,85.19
1989-09-11,85.06,85.06,85.06,85.06
1989-09-11,85.28,85.28,85.28,85.28
1989-09-11,87.2,87.2,87.2,87.2
1989-09-11,87.96,87.96,87.96,87.96
1989-09-11,87.95,87.95,87.95,87.95
1989-09-11,87.48,87.48,87.48,87.48
1989-09-11,86.68,86.68,86.68,86.68
1989-09-11,85.34,85.34,85.34,85.34
1989-09-11,86.7,86.7,86.7,86.7
1989-09-11,86.01,86.01,86.01,86.01
1989-09-11,86.47,86.47,86.47,86.47
1989-09-11,86.64,86.64,86.64,86.64
1989-09-11,86.95,86.95,86.95,86.95
1989-09-11,85.67,85.67,85.67,85.67
1989-09-11,85.91,85.91,85.91,85.91
