date,spx_close,hlth_close,cons_close,cond_close,enrs_close,finl_close,indu_close,inft_close,matr_close,rlst_close,tels_close,util_close,daily_new_cases,daily_new_deaths
2020-10-26,3400.97,1242.03,663.07,1231.998,221.99,410.1,668.6,2038.32,404.43,218.11,199.98,328.94,69228,690
2020-10-27,3390.68,1233.48,661.46,1239.06,218.92,402.27,654.04,2048.93,400.48,215.41,201.08,328.7,80943,997
2020-10-28,3271.03,1193.7,642.1512,1197.422,209.69,392.34497,632.40283,1960.2112,388.97867,210.225,192.98477,319.04,84623,1059
2020-10-29,3310.11,1185.17,642.4335,1208.296,216.41,395.00687,641.5775,1997.3331,397.45184,213.035,198.51381,319.92,94564,1014
2020-10-30,3269.96,1184.32,639.457,1172.03,216.82,396.09464,641.0076,1948.6635,396.8722,211.459,196.55006,316.92,102440,1009
2020-11-02,3310.24,1205.91,649.8772,1175.5563,224.77,403.78296,658.53674,1955.3447,410.3442,216.81856,196.71576,323.99,86477,722
2020-11-03,3369.16,1223.3,660.41016,1199.38,223.09,412.65024,677.6897,1990.558,416.7078,220.36237,199.50772,328.71,102647,1240
2020-11-04,3443.44,1277.71,660.77637,1237.025,223.45,407.423,670.9702,2066.8525,409.82758,220.981,207.99387,323.47,112483,1389
2020-11-05,3510.45,1280.07,665.983,1262.051,223.36,417.4377,686.24664,2131.3777,426.4377,221.67,211.67068,326.52,128733,1311
2020-11-06,3509.44,1282.04,668.93427,1258.63,218.58,414.074,687.155,2137.668,427.15295,220.741,211.47809,325.77,134603,1381
2020-11-09,3550.5,1291.38,665.8601,1238.561,249.67,447.8857,710.1352,2122.0737,436.74738,226.42,210.94127,331.7,121350,892
2020-11-10,3545.53,1295.95,679.0842,1224.782,255.97,451.14264,722.8813,2080.9822,441.7062,227.6,210.26782,336.42,155190,1484
2020-11-11,3572.66,1293.81,684.92676,1243.183,253.82,448.88657,716.5525,2131.2295,435.66904,229.363,211.46143,337.58,148829,1596
2020-11-12,3537.01,1288.6,683.51,1228.507,245.21,441.35,708.21,2111.15,426.23,227.03,210.46,331.75,166517,1461
2020-11-13,3585.15,1305.4,692.85,1244.778,254.55,448.35,723.41,2129.22,433.23,232.2,213.16,334.81,182799,1532
2020-11-16,3626.91,1302.87,698.69,1257.53,271.09,458.56,741.35,2150.03,441.89,233.38,214.49,338.09,153727,1085
2020-11-17,3609.53,1293.3,694.36,1253.703,272.44,457.62,739.26,2138.21,440.16,233.65,213.59,331.28,174260,1700
2020-11-18,3567.79,1270.51,685.31,1243.979,264.6,453.45,735.92,2114.41,436.56,229.74,211.52,324.87,175339,2173
2020-11-19,3581.87,1268.74,687.24,1249.676,268.65,454.78,737.69,2132.07,438.42,230.02,212.39,321.53,199491,2190
2020-11-20,3557.54,1266.25,682.83,1243.31,267.24,450.77,730.99,2109.68,437.84,228.51,211.22,321.68,201838,2168
2020-11-23,3577.59,1262.43,683.18,1253.36,286.18,459.26,742.96,2108.98,441.62,227.74,211.32,321.63,170596,1424
2020-11-24,3635.41,1266.01,687.8,1269.925,300.95,475.46,756.3,2138.19,452.65,227.68,216.17,325.21,185862,2202
2020-11-25,3629.65,1260.66,687.22,1277.271,293.66,473.5,750.4,2142.99,447.76,228.17,215.65,325.6,184887,2536
2020-11-27,3638.35,1272.68,686.83,1280.15,289.99,471.52,748.75,2153.93,449.53,227.66,216.99,322.46,154894,1664
2020-11-30,3621.63,1276.31,686.37,1271.425,274.42,462.45,741.25,2168.1,445.41,225.82,215.31,317.73,163719,1672
2020-12-01,3662.45,1286.61,692.41,1283.974,275.62,469.71,740.02,2198.66,449.96,228.68,219.53,320.1,190484,2742
2020-12-02,3669.01,1296.94,687.22,1275.018,284.3,474.66,740.88,2193.89,443.76,226.12,221.75,322.24,209605,2963
2020-12-03,3666.72,1294.77,687.61,1276.47,287.34,474.69,742.89,2191.59,440.76,227.78,220.87,318.69,223781,2933
2020-12-04,3699.12,1308.88,692.93,1274.781,302.94,480.05,751.94,2213.9,449.7,230.8,220.99,315.37,236702,2781
2020-12-07,3691.96,1300.77,690.63,1272.177,295.55,476.67,748.3,2219.75,446.55,228.62,222.35,317.11,192415,1862
2020-12-08,3702.25,1310.26,694.42,1271.604,300.19,476.39,751.51,2227.42,449.31,227.47,222.09,316.14,217668,2907
2020-12-09,3672.82,1306.48,692.13,1265.066,301.14,475.41,753.31,2185.6,449.72,225.25,219.42,315.33,224253,3340
2020-12-10,3668.1,1303.91,688.71,1263.447,309.95,476.18,746.29,2187.2,446.52,224.16,218.71,313.72,230473,3131
2020-12-11,3663.46,1298.49,690.72,1259.807,306.38,471.58,748.01,2182.24,444.19,224.15,221.22,314.19,245259,3098
2020-12-14,3647.49,1288.29,687.93,1265.54,295.55,465.81,738.42,2191.24,438.27,222.19,220,312.52,200648,1979
2020-12-15,3694.62,1302.04,689.49,1278.835,301.23,473.62,748.57,2226.54,446.53,226.03,221.55,318.57,210452,3142
2020-12-16,3701.17,1297.69,690.32,1292.525,300.04,474.19,743.97,2243.06,445.16,226.06,221.16,314.92,253029,3729
2020-12-17,3722.48,1312.28,694.52,1298.626,298.33,475.85,748.34,2259.84,450.4,228.8,220.47,317.19,238876,3431
2020-12-18,3709.41,1312.65,696.03,1289.04,293.33,472.13,748.53,2252.06,452.71,224.62,220.2,314.42,251543,3260
2020-12-21,3694.92,1299.99,688.75,1279.102,288.06,477.98,744.2,2253.7,450.07,222.84,218.61,310.45,200995,2409
2020-12-22,3687.26,1295.75,682.91,1274.467,283.04,473.37,740.19,2273.06,447.53,224.2,216.44,309.77,204948,3399
2020-12-23,3690.01,1296.78,684.98,1275.404,289.2,480.95,743.57,2253.78,447.88,222.06,217.36,309.16,232340,3411
2020-12-24,3703.06,1299.88,687.75,1277.28,287.38,481.31,744.1,2270.6,450.45,223.92,217.7,311.3,215331,2949
2020-12-28,3735.36,1303.37,693.29,1296.045,285.82,483.77,745.11,2296.98,448.83,225.83,221.75,312.77,185422,2374
2020-12-29,3727.04,1309.07,691.64,1298.855,283.93,482.11,740.08,2284.97,447.88,224.24,221.42,312.61,207215,3801
2020-12-30,3732.04,1309.08,690.8,1302.757,288.48,484.02,744.99,2284.47,453.88,225.04,219.79,314.09,233120,4100
2020-12-31,3756.07,1324.01,696.32,1302.561,286.14,490.43,749.54,2291.28,455.71,227.9,221.92,319.07,247481,3686
2021-01-04,3700.65,1316.89,688.69,1287.848,286.5,483.8,730.44,2250.17,451.04,220.4,218.58,310.76,198975,2124
2021-01-05,3726.86,1325.67,688.76,1298.648,299.49,485.6,737.89,2265.93,461.42,220.22,219.17,310.86,240113,3782
2021-01-06,3748.14,1344.35,688.3,1305.214,308.45,506.78,755.34,2225.02,480.27,219.02,217.72,318.51,264170,4121
2021-01-07,3803.79,1362.09,686.07,1328.6685,313.06,514.23,759.48,2283.97,484.04,219.69,220.77,314.27,281184,4300
2021-01-08,3824.68,1368.54,689.47,1352.53,312.78,513.24,757.79,2301.17,481.58,222.08,221.32,317,306271,4013
2021-01-11,3799.61,1375.46,683.41,1326.997,317.86,515.43,757.35,2279.54,481.6,218.4,217.41,314.05,217822,2358
2021-01-12,3801.19,1360.72,681.31,1344.381,328.98,520.91,765.17,2269.84,488.08,218.53,214.15,312.42,231760,4421
2021-01-13,3809.84,1364.15,682.41,1347.14,326.33,520.14,758.57,2284.59,482.91,221.56,214.91,318.48,238886,4249
2021-01-14,3795.54,1358.91,678.51,1337.229,336.14,522.77,760.8,2262.98,481.07,222.94,213.12,317.29,232680,4274
2021-01-15,3768.25,1363.26,675.75,1327.14,322.58,513.38,751.1,2240.95,474.04,226.2,213.44,320.35,248251,3992
2021-01-19,3798.91,1373.74,672.76,1334.812,329.3,515.6,753.5,2270.25,475.92,224.97,217.44,319.15,176187,2966
2021-01-20,3851.85,1381.65,674.44,1364.995,330.47,513.19,758.3,2316.03,477.61,229.41,225.3,321.12,191956,4293
2021-01-21,3853.07,1374.73,671.69,1372.525,319.12,507.78,752.13,2346.55,470.43,228.63,225.88,319.15,195530,4439
2021-01-22,3841.47,1370.9,669.71,1368.128,317.54,504.11,748.41,2339.12,468.43,229.33,226.14,319.68,195021,3901
2021-01-25,3855.36,1379.86,675.78,1372.353,314.17,500.26,743.26,2359.62,465.88,231.22,226.98,325.91,148458,2164
2021-01-26,3849.62,1374.4,682.05,1373.121,307.5,496.25,736.48,2359.81,459.38,233.85,228.77,322.67,156148,3952
2021-01-27,3750.77,1332.42,669.8,1330.203,303.22,481.67,721.47,2314.41,445.62,230.6,220.03,313.98,158567,4407
2021-01-28,3787.38,1352.11,672.95,1335.373,306.92,490.9,732.34,2324.9,453.71,231.34,222.78,317.77,167718,4047
2021-01-29,3714.24,1340.92,659.25,1307.639,296.52,480.98,717.01,2269.12,444.85,228.98,218.57,316.02,167649,3685
2021-02-01,3773.86,1345.17,659.37,1343.845,298.59,486.35,723.93,2326.07,450.01,234.17,222.62,317.53,,
2021-02-02,3826.31,1348.92,663.93,1370.755,301.85,498.3,739.52,2355.9,455.9,235.13,226.18,320.08,,
2021-02-03,3830.17,1339.46,665.02,1360.276,314.75,500.85,739.92,2348.81,456.79,234.25,230.85,319.12,,
2021-02-04,3871.74,1344.26,669.95,1373.378,318.16,512.25,748.06,2385.11,454.33,235.41,232.22,321.42,,
2021-02-05,3886.83,1347.66,675.92,1385.961,321.1,512.69,752.03,2379.86,462.08,236.22,234.43,323.15,,
2021-02-08,3915.59,1349.6,678.96,1391.358,334.5,518.95,758.84,2404.56,465.83,236.75,235.33,320.63,,
2021-02-09,3911.23,1351.29,678.05,1383.366,329.41,519.49,760.45,2399.97,462.6,237.87,235.82,320.96,,
2021-02-10,3909.88,1353.55,677.09,1370.333,335.48,519.17,759.21,2396.35,461.69,239.29,237.3,322.21,,
2021-02-11,3916.38,1355.74,674.17,1366.169,330.36,518.02,757.66,2422.53,462.35,239.02,237.39,319.89,,
2021-02-12,3934.83,1365.94,675.23,1368.529,334.99,522.92,762.72,2434.51,467.06,238.88,237.55,317.37,,
2021-02-16,3932.59,1351.99,674.05,1362.485,342.57,532.19,762.36,2427.32,466.19,236.33,238.55,313.75,,
2021-02-17,3931.33,1356.79,676.69,1371.356,347.55,534.08,760.01,2402.23,465.57,236.53,239.7,314.11,,
2021-02-18,3913.97,1347.97,675.81,1373.248,339.66,531.43,756.26,2391.35,462.67,236.47,237.9,315.83,,
2021-02-19,3906.71,1332.52,667.53,1361.138,345.23,537.59,768.39,2387.76,471.21,237.03,235.36,311.06,,
2021-02-22,3876.5,1328.53,668.04,1331.88,357.22,542.84,770.71,2333.92,472.99,238.31,234.59,305.02,,
2021-02-23,3881.37,1326.48,667.86,1325.409,362.97,545.54,772.88,2328.11,474.52,239.06,237.06,307.45,,
